cand_id,elected_via,area_district,incumbent,list_state,list_no,gender,birthyear,mean_share_mp,mean_distance,n
5979,List,13246.67338046594,1,Nordrhein-Westfalen,3,male,1958,0.41935483870967744,93.6774193548387,31
5998,List,8630.77389168342,0,Nordrhein-Westfalen,8,male,1959,0.032679738562091505,201.34313725490196,306
6052,Direct,12572.422404125931,0,Nordrhein-Westfalen,NA,male,1976,0.639344262295082,75.60655737704919,61
6094,List,14247.875404331016,0,Nordrhein-Westfalen,11,male,1971,0.3333333333333333,193.16666666666666,18
6095,List,22166.5942783926,0,Sachsen,1,male,1973,0.027777777777777776,93.88888888888889,108
6191,List,3601.411697600971,0,Baden-Württemberg,7,male,1971,0.17419354838709677,175.28387096774193,155
6203,List,839.5358992163534,0,Bayern,3,female,1972,0.6271186440677966,25.694915254237287,59
6352,Direct,23812.485917084377,1,Thüringen,4,male,1976,0.4605263157894737,79.59210526315789,76
6353,Direct,1022.5483381675984,1,Nordrhein-Westfalen,54,male,1958,0.6311475409836066,88.35245901639344,122
6356,List,11820.353998450508,1,Rheinland-Pfalz,6,male,1982,0.515527950310559,64.11801242236025,161
6377,List,14365.72973246841,0,Niedersachsen,4,male,1975,0,230.5,16
6404,List,22540.949918232345,0,Hessen,5,female,1960,0.3225806451612903,32.41935483870968,31
6405,List,11519.333655757337,0,Baden-Württemberg,10,male,1957,0.21875,179.65625,32
6485,List,21234.3942148132,0,Hessen,6,male,1948,0.38461538461538464,95.64102564102564,39
6517,List,34580.31422074393,0,Mecklenburg-Vorpommern,1,male,1970,0.2661290322580645,123.9274193548387,124
6534,List,12029.827229740209,0,Niedersachsen,6,male,1961,0.42105263157894735,60.8421052631579,19
6700,List,1630.2173666601614,1,Nordrhein-Westfalen,4,male,1963,0.28994082840236685,171.18934911242604,169
6746,List,7872.696306772487,1,Baden-Württemberg,2,female,1966,0.3333333333333333,76.23611111111111,72
6765,List,16357.762377921255,0,Rheinland-Pfalz,4,female,1970,0.14285714285714285,126.42857142857143,70
6775,List,9299.122385336808,0,Rheinland-Pfalz,1,male,1973,0.21052631578947367,57.526315789473685,19
6788,Direct,393.12569154862734,1,Berlin,1,female,1969,0.4,221.64,25
6797,List,47219.4161961222,0,Sachsen-Anhalt,4,male,1975,0.7075471698113207,32.66981132075472,106
7017,List,906.6045896777208,1,Bayern,6,male,1976,0.4834123222748815,88.03554502369668,422
7067,Direct,1289.986224157226,1,Nordrhein-Westfalen,12,male,1973,0.6819672131147541,67.20655737704918,305
7083,List,1258.9427402309,1,Nordrhein-Westfalen,5,female,1951,0.06,241.3,50
7154,List,6410.630972877878,0,Baden-Württemberg,3,male,1968,0,156.85714285714286,28
7193,List,7156.0041150444995,0,Baden-Württemberg,12,male,1977,0.26666666666666666,37.642194092827005,2370
7213,List,39170.334378932675,1,Mecklenburg-Vorpommern,2,male,1967,0.5893719806763285,38.671497584541065,207
7228,List,9011.160791303255,1,Baden-Württemberg,16,male,1959,0.875,35.916666666666664,24
7284,Direct,3453.1602668807723,1,Nordrhein-Westfalen,50,male,1970,0.5277777777777778,48.69444444444444,36
7318,List,15625.610633258113,0,Thüringen,2,female,1987,0.5674157303370787,51.49438202247191,178
7430,List,1534.2960082748627,0,Bremen,1,female,1966,0.7142857142857143,48,98
7484,Direct,3137.953203971366,0,Rheinland-Pfalz,15,male,1979,0.896551724137931,24.689655172413794,29
7529,List,8758.595538076432,1,Baden-Württemberg,11,female,1960,0.72,30.4,25
7542,Direct,1153.3382731834947,1,Baden-Württemberg,7,male,1969,0.6865203761755486,80.58307210031347,319
7607,List,16328.728520440294,1,Bayern,4,male,1953,0.36363636363636365,96.36363636363636,11
7608,Direct,1412.0871071910074,1,Nordrhein-Westfalen,NA,male,1968,0.7532751091703057,47.55458515283843,458
7636,Direct,14720.086147802522,1,Baden-Württemberg,NA,female,1989,0.625,87.625,16
7637,List,4417.326282591618,0,Thüringen,1,male,1965,0.47337278106508873,39.437869822485204,169
7699,List,860.9338936323527,0,Hessen,2,male,1964,0.5173611111111112,60.78819444444444,288
7702,List,21154.214357599147,0,Niedersachsen,6,male,1971,0.2459016393442623,119,61
7707,List,15712.207055833373,1,Niedersachsen,5,female,1969,0.17647058823529413,115.07843137254902,51
7756,Direct,16389.36080114475,1,Baden-Württemberg,NA,male,1963,0.6233766233766234,64.45454545454545,77
7780,List,901.7786000464404,1,Niedersachsen,4,male,1985,0.5254691689008043,101.10187667560322,373
7799,List,808.3441877897969,1,Sachsen,1,female,1978,0.5259593679458239,112.72460496613995,443
7848,List,266.61097395492425,1,Berlin,3,female,1975,0.4,180.1,40
7922,List,7585.731317724725,0,Bayern,2,male,1977,0.5,92.625,24
7939,List,3023.860762514708,1,Nordrhein-Westfalen,9,female,1958,0.6651162790697674,44.85581395348837,215
7986,Direct,27236.608319260828,1,Niedersachsen,7,male,1978,0.17857142857142858,219.02380952380952,84
8048,List,964.9505775101383,0,Berlin,2,female,1980,0.625,131.85714285714286,56
8119,Direct,24808.392948566812,1,Niedersachsen,27,male,1967,0.5833333333333334,60.416666666666664,12
8231,Direct,42341.073569025495,1,Brandenburg,2,male,1962,0.8527131782945736,38.78294573643411,129
8271,List,1716.1937209994053,1,Sachsen,1,female,1980,0,58.79032258064516,62
8295,List,49520.49846518752,0,Mecklenburg-Vorpommern,2,male,1968,0.5,195.58333333333334,12
8303,List,22813.05164064438,0,Rheinland-Pfalz,4,female,1982,0.3333333333333333,83,18
8353,List,22597.736302504836,1,Sachsen-Anhalt,2,male,1977,0.425,126.5,40
8422,List,15617.551684565107,0,Bayern,12,male,1974,0,294.3333333333333,12
8535,List,17963.405722279003,1,Niedersachsen,3,female,1956,0.39285714285714285,62,28
8595,List,9368.807962524288,1,Nordrhein-Westfalen,2,male,1969,0.10062893081761007,68.98113207547169,159
8651,List,497.3026168085664,1,Hamburg,2,male,1961,0.9032258064516129,28.193548387096776,31
8757,List,12637.78892422707,0,Niedersachsen,6,male,1989,0.364,101.688,250
8842,List,1258.9427402309,1,Nordrhein-Westfalen,8,male,1966,0.9545454545454546,6.181818181818182,44
8918,List,906.6045896777208,0,Bayern,6,male,1986,0.13333333333333333,258.73333333333335,15
8960,List,1133.5408887741771,0,Niedersachsen,2,male,1967,0.627906976744186,86.06976744186046,86
9051,List,7872.696306772487,1,Baden-Württemberg,6,male,1979,0.4025974025974026,88.35714285714286,154
9053,List,4160.443570390742,1,Sachsen,2,male,1979,0.0078125,107.78125,128
9065,Direct,21154.214357599147,1,Niedersachsen,23,male,1967,0.8153846153846154,13.569230769230769,65
9082,List,529.1486981029283,1,Berlin,3,female,1955,0.37538461538461537,207.13538461538462,325
9302,Direct,1304.208440014755,1,Nordrhein-Westfalen,58,male,1963,0.4032258064516129,151.18951612903226,248
9310,List,22166.5942783926,1,Sachsen,3,female,1972,0.2185430463576159,186.0794701986755,302
9312,List,1263.129559290765,1,Sachsen,1,female,1967,0.5875486381322957,35.25486381322957,514
9349,List,1022.5483381675984,0,Nordrhein-Westfalen,4,male,1979,0.71,53.15,300
9386,List,21146.689566539004,1,Hessen,1,female,1961,0.05263157894736842,144.51461988304092,171
9394,Direct,3449.9837510279017,1,Hessen,6,female,1975,0.6206896551724138,33.67816091954023,174
9421,List,21809.669037508644,1,Sachsen-Anhalt,1,female,1968,0.43434343434343436,78.31313131313131,99
9451,Direct,14163.390959486042,1,Bayern,NA,male,1981,0.18604651162790697,159.62790697674419,43
9573,Direct,964.9505775101383,1,Berlin,2,male,1972,0.5057915057915058,154.8841698841699,259
9639,Direct,1299.7241694929098,0,Nordrhein-Westfalen,31,male,1976,0.43373493975903615,112.12048192771084,83
9648,List,11820.353998450508,1,Rheinland-Pfalz,2,male,1982,0.11538461538461539,163.84615384615384,26
9652,List,4366.010763125965,0,Nordrhein-Westfalen,1,male,1979,0,229.7972972972973,74
9714,List,5891.906950955195,1,Sachsen-Anhalt,1,male,1965,0.4742268041237113,73.87628865979381,97
9833,Direct,529.1486981029283,1,Berlin,3,male,1975,0.7238095238095238,98.06666666666666,105
9841,Direct,14729.58219267879,1,Bayern,7,female,1975,0.6947368421052632,61.11578947368421,95
9869,List,8000.90918153201,0,Saarland,1,male,1979,0.4780952380952381,97.81333333333333,525
9931,Direct,519.0104581018846,1,Berlin,3,female,1961,0.82,41.346666666666664,150
10000,List,8902.510515739217,0,Saarland,1,male,1966,0.08333333333333333,227.85,120
10069,List,939.3122617376887,0,Baden-Württemberg,2,male,1944,0.5,91.38888888888889,18
10075,List,808.3441877897969,0,Sachsen,2,male,1962,0.39805825242718446,146.74433656957927,309
10289,List,6695.588139143498,1,Baden-Württemberg,7,female,1971,0.3925233644859813,129.39252336448598,107
10311,List,16317.534155801935,0,Thüringen,3,male,1961,0.7857142857142857,20.357142857142858,14
10321,List,14720.086147802522,1,Baden-Württemberg,5,female,1954,0.27419354838709675,200.70967741935485,62
10495,List,266.61097395492425,0,Berlin,4,male,1975,0.9558823529411765,13.860294117647058,136
10501,Direct,7167.136448458114,1,Hessen,2,male,1961,0.605072463768116,39.405797101449274,276
10661,List,568.2591901585213,0,Berlin,1,male,1975,0.5425531914893617,115.56382978723404,94
10761,List,1049.9238604368215,1,Nordrhein-Westfalen,5,female,1976,0.22727272727272727,156.3181818181818,44
10782,List,964.9505775101383,1,Berlin,4,male,1964,0.5815602836879432,126.24113475177305,141
10839,List,8299.632941071675,0,Niedersachsen,5,female,1980,0.3333333333333333,151.8148148148148,27
10857,Direct,11611.074377871031,0,Niedersachsen,19,male,1984,0.26666666666666666,92.53333333333333,15
10959,List,1245.326445994523,1,Nordrhein-Westfalen,6,male,1984,0.07505070993914807,224.58823529411765,493
10963,List,21809.669037508644,0,Sachsen-Anhalt,4,male,1958,0.467005076142132,87.3756345177665,197
11044,List,6606.883218577226,1,Schleswig-Holstein,1,female,1960,0.11538461538461539,141.19230769230768,52
11059,Direct,13833.962193994454,0,Niedersachsen,18,female,1983,0.875,33.0625,16
11079,Direct,1281.819381962754,1,Nordrhein-Westfalen,42,male,1949,0.8888888888888888,4.333333333333333,18
11101,List,11680.095061017288,0,Hessen,6,male,1969,0.4957983193277311,58.34453781512605,119
11104,List,15337.151347484738,1,Hessen,8,female,1959,0.659016393442623,23.881967213114756,305
11107,List,34580.31422074393,0,Mecklenburg-Vorpommern,1,female,1981,0.3157894736842105,114.12631578947368,95
11108,List,2203.6887304741867,1,Sachsen,4,male,1964,0.6506238859180036,57.84135472370767,561
11126,List,6703.896938307044,1,Brandenburg,4,male,1986,0.7542372881355932,39.76271186440678,118
