cand_id,elected_via,area_district,incumbent,list_state,list_no,gender,birthyear,mean_share_mp,mean_distance,n
4388,List,4620.076005082663,1,Baden-Württemberg,10,male,1970,0.12900096993210475,70.09602327837051,1031
4437,Direct,11820.353998450508,1,Rheinland-Pfalz,4,male,1971,0.7703549060542797,24.05427974947808,479
4451,List,1175.5382524754516,1,Nordrhein-Westfalen,10,male,1977,0.08571428571428572,145.70714285714286,140
4494,List,964.9505775101383,0,Berlin,2,male,1976,0.6363636363636364,105.66666666666667,33
4529,Direct,3067.4168627666336,1,Nordrhein-Westfalen,64,male,1960,0.91796875,6.0390625,256
4542,Direct,24224.7537353303,1,Baden-Württemberg,NA,male,1956,0.7230769230769231,39.38846153846154,260
4568,List,17433.72532454794,1,Baden-Württemberg,8,male,1971,0.6702702702702703,36.22162162162162,185
4650,List,22540.949918232345,0,Hessen,5,male,1942,0.25,120.375,16
4688,List,13846.64385374311,1,Rheinland-Pfalz,9,female,1962,0.8264462809917356,15.652892561983471,121
4727,List,527.1963510336126,1,Bayern,2,female,1975,0.5170842824601367,130.20956719817767,439
4791,List,5614.530722508398,0,Nordrhein-Westfalen,4,male,1965,0.21359223300970873,144.08252427184465,206
4823,List,1412.0871071910074,0,Nordrhein-Westfalen,3,male,1966,0.6020408163265306,58.285714285714285,98
4885,Direct,3556.2718168864208,0,Hessen,21,male,1976,0.8546875,11.5828125,640
4909,List,2225.236105272511,1,Nordrhein-Westfalen,4,female,1966,0.6002906976744186,43.77906976744186,688
4938,Direct,4653.362893884993,1,Rheinland-Pfalz,11,female,1965,0.8378378378378378,22.536036036036037,222
4960,Direct,12437.496791560232,1,Niedersachsen,2,male,1960,0.8055555555555556,48.083333333333336,36
4967,Direct,19533.70229275377,1,Niedersachsen,10,female,1964,0.7168949771689498,37.38812785388128,219
4982,Direct,3868.122248413331,1,Nordrhein-Westfalen,39,male,1956,0.5714285714285714,31.01098901098901,182
5026,Direct,26847.467928994072,1,Thüringen,1,male,1955,0.7615062761506276,22.11715481171548,478
5027,List,22364.070281896333,0,Bayern,8,male,1963,0.24880382775119617,123.5933014354067,209
5029,Direct,19634.785271836077,1,Niedersachsen,21,male,1971,0.4935897435897436,65.10897435897436,156
5064,Direct,3453.2484250238763,1,Nordrhein-Westfalen,1,male,1961,0.8008658008658008,28.1991341991342,462
5065,Direct,568.2591901585213,1,Berlin,NA,male,1966,0.772,83.26,250
